Food_A,Food_B,Food_C,Type,Reason,Impact
Tomato,Ragi,Peanut Butter,DEPENDS,Context based,neutral
Lemon,Carrot,Orange,DEPENDS,Context based,neutral
Milk,Milk,Egg,DEPENDS,Context based,neutral
Potato,Quinoa,Chicken,GOOD,Stable glucose,metabolic
Rice,Broccoli,Carrot,DEPENDS,Context based,neutral
Jowar,Paneer,Chicken,GOOD,Stable glucose,metabolic
Lemon,Almonds,Sweet Potato,DEPENDS,Context based,neutral
Chickpeas,Peanut Butter,Peanut Butter,DEPENDS,Context based,neutral
Ragi,Rice,Milk,DEPENDS,Context based,neutral
Sweet Potato,Bajra,Sweet Potato,DEPENDS,Context based,neutral
Brown Rice,Fish,Chicken,GOOD,Stable glucose,metabolic
Jowar,Lemon,Chicken,GOOD,Stable glucose,metabolic
Milk,Rice,Broccoli,DEPENDS,Context based,neutral
Banana,Broccoli,Broccoli,DEPENDS,Context based,neutral
Olive Oil,Rice,Apple,BAD,Heavy digestion + sugar spike,metabolic
Banana,Almonds,Carrot,GOOD,Vitamin A absorption,absorption
Spinach,Spinach,Broccoli,DEPENDS,Context based,neutral
Bajra,Ragi,Curd,DEPENDS,Context based,neutral
Fish,Curd,Paneer,DEPENDS,Context based,neutral
Curd,Lemon,Chicken,DEPENDS,Context based,neutral
Chicken,Curd,Egg,DEPENDS,Context based,neutral
Peanut Butter,Ragi,Rice,DEPENDS,Context based,neutral
Ghee,Ragi,Sweet Potato,DEPENDS,Context based,neutral
Almonds,Bajra,Ghee,DEPENDS,Context based,neutral
Almonds,Paneer,Chicken,DEPENDS,Context based,neutral
Potato,Banana,Broccoli,DEPENDS,Context based,neutral
Paneer,Chickpeas,Ghee,DEPENDS,Context based,neutral
Brown Rice,Fish,Bajra,GOOD,Stable glucose,metabolic
Almonds,Ragi,Paneer,GOOD,Stable glucose,metabolic
Broccoli,Ragi,Broccoli,DEPENDS,Context based,neutral
Tomato,Milk,Brown Rice,DEPENDS,Context based,neutral
Olive Oil,Sweet Potato,Chickpeas,GOOD,Stable glucose,metabolic
Tomato,Potato,Rice,DEPENDS,Context based,neutral
Ghee,Apple,Milk,DEPENDS,Context based,neutral
Potato,Broccoli,Chicken,GOOD,Stable glucose,metabolic
Chicken,Olive Oil,Paneer,DEPENDS,Context based,neutral
Curd,Carrot,Almonds,GOOD,Vitamin A absorption,absorption
Orange,Bajra,Egg,GOOD,Stable glucose,metabolic
Milk,Chicken,Chickpeas,DEPENDS,Context based,neutral
Jowar,Chickpeas,Broccoli,GOOD,Stable glucose,metabolic
Peanut Butter,Chickpeas,Lemon,DEPENDS,Context based,neutral
Quinoa,Olive Oil,Dal,GOOD,Stable glucose,metabolic
Ghee,Peanut Butter,Potato,DEPENDS,Context based,neutral
Milk,Ragi,Carrot,DEPENDS,Context based,neutral
Carrot,Jowar,Potato,DEPENDS,Context based,neutral
Banana,Peanut Butter,Chicken,DEPENDS,Context based,neutral
Spinach,Rice,Sweet Potato,DEPENDS,Context based,neutral
Spinach,Ghee,Peanut Butter,DEPENDS,Context based,neutral
Olive Oil,Chickpeas,Dal,DEPENDS,Context based,neutral
Olive Oil,Spinach,Orange,GOOD,Iron absorption boost,absorption
Quinoa,Almonds,Jowar,DEPENDS,Context based,neutral
Ghee,Quinoa,Paneer,GOOD,Stable glucose,metabolic
Egg,Chickpeas,Rice,GOOD,Stable glucose,metabolic
Peanut Butter,Sweet Potato,Orange,DEPENDS,Context based,neutral
Milk,Egg,Quinoa,GOOD,Stable glucose,metabolic
Broccoli,Chicken,Potato,GOOD,Stable glucose,metabolic
Ragi,Jowar,Sweet Potato,DEPENDS,Context based,neutral
Olive Oil,Curd,Orange,DEPENDS,Context based,neutral
Dal,Quinoa,Egg,GOOD,Stable glucose,metabolic
Apple,Orange,Paneer,DEPENDS,Context based,neutral
Bajra,Brown Rice,Brown Rice,DEPENDS,Context based,neutral
Ghee,Curd,Brown Rice,DEPENDS,Context based,neutral
Almonds,Olive Oil,Milk,DEPENDS,Context based,neutral
Sweet Potato,Spinach,Apple,DEPENDS,Context based,neutral
Apple,Dal,Lemon,DEPENDS,Context based,neutral
Orange,Olive Oil,Milk,DEPENDS,Context based,neutral
Milk,Chicken,Peanut Butter,DEPENDS,Context based,neutral
Broccoli,Dal,Tomato,DEPENDS,Context based,neutral
Bajra,Sweet Potato,Jowar,DEPENDS,Context based,neutral
Rice,Curd,Broccoli,DEPENDS,Context based,neutral
Ghee,Rice,Almonds,DEPENDS,Context based,neutral
Brown Rice,Chickpeas,Orange,GOOD,Stable glucose,metabolic
Potato,Orange,Brown Rice,DEPENDS,Context based,neutral
Potato,Ghee,Broccoli,DEPENDS,Context based,neutral
Olive Oil,Peanut Butter,Fish,DEPENDS,Context based,neutral
Jowar,Potato,Banana,DEPENDS,Context based,neutral
Brown Rice,Lemon,Ghee,DEPENDS,Context based,neutral
Potato,Quinoa,Sweet Potato,DEPENDS,Context based,neutral
Peanut Butter,Ragi,Spinach,DEPENDS,Context based,neutral
Olive Oil,Milk,Olive Oil,DEPENDS,Context based,neutral
Dal,Orange,Chickpeas,DEPENDS,Context based,neutral
Chicken,Rice,Banana,GOOD,Stable glucose,metabolic
Ragi,Brown Rice,Spinach,DEPENDS,Context based,neutral
Spinach,Sweet Potato,Orange,GOOD,Iron absorption boost,absorption
Fish,Paneer,Spinach,DEPENDS,Context based,neutral
Potato,Rice,Apple,DEPENDS,Context based,neutral
Jowar,Egg,Rice,GOOD,Stable glucose,metabolic
Lemon,Carrot,Apple,DEPENDS,Context based,neutral
Sweet Potato,Lemon,Carrot,DEPENDS,Context based,neutral
Olive Oil,Banana,Almonds,DEPENDS,Context based,neutral
Chickpeas,Sweet Potato,Tomato,GOOD,Stable glucose,metabolic
Chickpeas,Olive Oil,Potato,GOOD,Stable glucose,metabolic
Banana,Chickpeas,Chickpeas,DEPENDS,Context based,neutral
Ghee,Peanut Butter,Rice,DEPENDS,Context based,neutral
Egg,Broccoli,Almonds,DEPENDS,Context based,neutral
Carrot,Sweet Potato,Broccoli,DEPENDS,Context based,neutral
Ghee,Rice,Olive Oil,DEPENDS,Context based,neutral
Curd,Chicken,Curd,DEPENDS,Context based,neutral
Sweet Potato,Tomato,Ragi,DEPENDS,Context based,neutral
Spinach,Sweet Potato,Olive Oil,DEPENDS,Context based,neutral
Olive Oil,Brown Rice,Spinach,DEPENDS,Context based,neutral
Milk,Quinoa,Apple,DEPENDS,Context based,neutral
Egg,Orange,Brown Rice,GOOD,Stable glucose,metabolic
Brown Rice,Tomato,Olive Oil,DEPENDS,Context based,neutral
Rice,Rice,Banana,DEPENDS,Context based,neutral
Orange,Spinach,Dal,GOOD,Iron absorption boost,absorption
Olive Oil,Sweet Potato,Apple,BAD,Heavy digestion + sugar spike,metabolic
Carrot,Olive Oil,Chicken,GOOD,Vitamin A absorption,absorption
Ragi,Chickpeas,Paneer,GOOD,Stable glucose,metabolic
Almonds,Fish,Potato,GOOD,Stable glucose,metabolic
Paneer,Olive Oil,Jowar,GOOD,Stable glucose,metabolic
Tomato,Ragi,Quinoa,DEPENDS,Context based,neutral
Spinach,Paneer,Peanut Butter,DEPENDS,Context based,neutral
Ghee,Orange,Chickpeas,DEPENDS,Context based,neutral
Fish,Apple,Peanut Butter,DEPENDS,Context based,neutral
Peanut Butter,Dal,Peanut Butter,DEPENDS,Context based,neutral
Ghee,Chicken,Ghee,DEPENDS,Context based,neutral
Peanut Butter,Spinach,Sweet Potato,DEPENDS,Context based,neutral
Paneer,Paneer,Orange,DEPENDS,Context based,neutral
Ghee,Chicken,Paneer,DEPENDS,Context based,neutral
Paneer,Tomato,Peanut Butter,DEPENDS,Context based,neutral
Dal,Jowar,Ghee,GOOD,Stable glucose,metabolic
Orange,Brown Rice,Egg,GOOD,Stable glucose,metabolic
Curd,Ghee,Tomato,DEPENDS,Context based,neutral
Chickpeas,Fish,Ragi,GOOD,Stable glucose,metabolic
Quinoa,Quinoa,Milk,DEPENDS,Context based,neutral
Jowar,Dal,Fish,GOOD,Stable glucose,metabolic
Sweet Potato,Broccoli,Jowar,DEPENDS,Context based,neutral
Potato,Peanut Butter,Banana,BAD,Heavy digestion + sugar spike,metabolic
Chickpeas,Chicken,Curd,DEPENDS,Context based,neutral
Tomato,Banana,Spinach,GOOD,Iron absorption boost,absorption
Egg,Fish,Milk,DEPENDS,Context based,neutral
Chickpeas,Rice,Rice,GOOD,Stable glucose,metabolic
Banana,Milk,Almonds,DEPENDS,Context based,neutral
Chickpeas,Rice,Broccoli,GOOD,Stable glucose,metabolic
Lemon,Olive Oil,Curd,DEPENDS,Context based,neutral
Almonds,Sweet Potato,Fish,GOOD,Stable glucose,metabolic
Chickpeas,Chickpeas,Brown Rice,GOOD,Stable glucose,metabolic
Chickpeas,Rice,Lemon,GOOD,Stable glucose,metabolic
Chickpeas,Peanut Butter,Bajra,GOOD,Stable glucose,metabolic
Sweet Potato,Peanut Butter,Egg,GOOD,Stable glucose,metabolic
Potato,Carrot,Milk,DEPENDS,Context based,neutral
Rice,Spinach,Sweet Potato,DEPENDS,Context based,neutral
Orange,Bajra,Paneer,GOOD,Stable glucose,metabolic
Chickpeas,Lemon,Chicken,DEPENDS,Context based,neutral
Banana,Curd,Spinach,BAD,Calcium blocks iron,absorption
Lemon,Paneer,Quinoa,GOOD,Stable glucose,metabolic
Peanut Butter,Orange,Sweet Potato,DEPENDS,Context based,neutral
Ghee,Spinach,Sweet Potato,DEPENDS,Context based,neutral
Quinoa,Peanut Butter,Spinach,DEPENDS,Context based,neutral
Dal,Carrot,Spinach,DEPENDS,Context based,neutral
Chicken,Potato,Carrot,GOOD,Stable glucose,metabolic
Lemon,Rice,Broccoli,DEPENDS,Context based,neutral
Almonds,Milk,Jowar,DEPENDS,Context based,neutral
Carrot,Brown Rice,Lemon,DEPENDS,Context based,neutral
Rice,Rice,Lemon,DEPENDS,Context based,neutral
Milk,Broccoli,Lemon,DEPENDS,Context based,neutral
Broccoli,Spinach,Egg,DEPENDS,Context based,neutral
Egg,Lemon,Quinoa,GOOD,Stable glucose,metabolic
Chicken,Quinoa,Tomato,GOOD,Stable glucose,metabolic
Rice,Potato,Jowar,DEPENDS,Context based,neutral
Quinoa,Brown Rice,Lemon,DEPENDS,Context based,neutral
Chickpeas,Apple,Chicken,DEPENDS,Context based,neutral
Egg,Almonds,Potato,GOOD,Stable glucose,metabolic
Olive Oil,Spinach,Fish,DEPENDS,Context based,neutral
Banana,Banana,Lemon,DEPENDS,Context based,neutral
Bajra,Bajra,Potato,DEPENDS,Context based,neutral
Banana,Curd,Brown Rice,DEPENDS,Context based,neutral
Paneer,Potato,Chicken,GOOD,Stable glucose,metabolic
Spinach,Egg,Potato,GOOD,Stable glucose,metabolic
Milk,Tomato,Egg,DEPENDS,Context based,neutral
Potato,Paneer,Ghee,GOOD,Stable glucose,metabolic
Milk,Chicken,Egg,DEPENDS,Context based,neutral
Carrot,Apple,Chicken,DEPENDS,Context based,neutral
Milk,Chickpeas,Apple,DEPENDS,Context based,neutral
Curd,Banana,Ragi,DEPENDS,Context based,neutral
Orange,Milk,Chickpeas,DEPENDS,Context based,neutral
Brown Rice,Jowar,Spinach,DEPENDS,Context based,neutral
Dal,Milk,Paneer,DEPENDS,Context based,neutral
Banana,Spinach,Tomato,GOOD,Iron absorption boost,absorption
Orange,Potato,Jowar,DEPENDS,Context based,neutral
Curd,Jowar,Paneer,GOOD,Stable glucose,metabolic
Chickpeas,Ghee,Brown Rice,GOOD,Stable glucose,metabolic
Paneer,Egg,Ghee,DEPENDS,Context based,neutral
Chickpeas,Fish,Olive Oil,DEPENDS,Context based,neutral
Curd,Almonds,Ragi,DEPENDS,Context based,neutral
Ragi,Dal,Dal,GOOD,Stable glucose,metabolic
Milk,Spinach,Ragi,BAD,Calcium blocks iron,absorption
Orange,Apple,Chicken,DEPENDS,Context based,neutral
Milk,Almonds,Ragi,DEPENDS,Context based,neutral
Tomato,Egg,Carrot,DEPENDS,Context based,neutral
Peanut Butter,Spinach,Egg,DEPENDS,Context based,neutral
Apple,Almonds,Sweet Potato,BAD,Heavy digestion + sugar spike,metabolic
Ghee,Egg,Apple,DEPENDS,Context based,neutral
Banana,Ghee,Curd,DEPENDS,Context based,neutral
Dal,Curd,Orange,DEPENDS,Context based,neutral
Broccoli,Chickpeas,Dal,DEPENDS,Context based,neutral
Tomato,Milk,Olive Oil,DEPENDS,Context based,neutral
Quinoa,Chicken,Lemon,GOOD,Stable glucose,metabolic
Rice,Rice,Egg,GOOD,Stable glucose,metabolic
Potato,Egg,Sweet Potato,GOOD,Stable glucose,metabolic
Jowar,Banana,Banana,DEPENDS,Context based,neutral
Broccoli,Broccoli,Fish,DEPENDS,Context based,neutral
Curd,Jowar,Tomato,DEPENDS,Context based,neutral
Orange,Milk,Chicken,DEPENDS,Context based,neutral
Milk,Lemon,Jowar,DEPENDS,Context based,neutral
Quinoa,Paneer,Olive Oil,GOOD,Stable glucose,metabolic
Lemon,Apple,Milk,DEPENDS,Context based,neutral
Tomato,Potato,Bajra,DEPENDS,Context based,neutral
Ghee,Egg,Lemon,DEPENDS,Context based,neutral
Orange,Lemon,Orange,DEPENDS,Context based,neutral
Jowar,Rice,Carrot,DEPENDS,Context based,neutral
Potato,Banana,Ghee,BAD,Heavy digestion + sugar spike,metabolic
Orange,Milk,Peanut Butter,DEPENDS,Context based,neutral
Fish,Brown Rice,Dal,GOOD,Stable glucose,metabolic
Apple,Banana,Brown Rice,DEPENDS,Context based,neutral
Rice,Ghee,Spinach,DEPENDS,Context based,neutral
Lemon,Milk,Fish,DEPENDS,Context based,neutral
Peanut Butter,Rice,Almonds,DEPENDS,Context based,neutral
Peanut Butter,Broccoli,Ghee,DEPENDS,Context based,neutral
Ghee,Quinoa,Curd,DEPENDS,Context based,neutral
Dal,Milk,Almonds,DEPENDS,Context based,neutral
Milk,Banana,Dal,DEPENDS,Context based,neutral
Dal,Egg,Bajra,GOOD,Stable glucose,metabolic
Chickpeas,Peanut Butter,Broccoli,DEPENDS,Context based,neutral
Chicken,Rice,Bajra,GOOD,Stable glucose,metabolic
Apple,Jowar,Dal,GOOD,Stable glucose,metabolic
Apple,Spinach,Potato,DEPENDS,Context based,neutral
Rice,Orange,Milk,DEPENDS,Context based,neutral
Apple,Sweet Potato,Broccoli,DEPENDS,Context based,neutral
Ragi,Milk,Almonds,DEPENDS,Context based,neutral
Carrot,Carrot,Lemon,DEPENDS,Context based,neutral
Fish,Tomato,Sweet Potato,GOOD,Stable glucose,metabolic
Brown Rice,Carrot,Brown Rice,DEPENDS,Context based,neutral
Almonds,Bajra,Chickpeas,GOOD,Stable glucose,metabolic
Carrot,Dal,Spinach,DEPENDS,Context based,neutral
Fish,Milk,Peanut Butter,DEPENDS,Context based,neutral
Carrot,Curd,Ghee,GOOD,Vitamin A absorption,absorption
Curd,Jowar,Spinach,BAD,Calcium blocks iron,absorption
Quinoa,Ghee,Ghee,DEPENDS,Context based,neutral
Ghee,Rice,Egg,GOOD,Stable glucose,metabolic
Sweet Potato,Rice,Jowar,DEPENDS,Context based,neutral
Potato,Bajra,Fish,GOOD,Stable glucose,metabolic
Fish,Chickpeas,Lemon,DEPENDS,Context based,neutral
Dal,Olive Oil,Carrot,GOOD,Vitamin A absorption,absorption
Ghee,Jowar,Ghee,DEPENDS,Context based,neutral
Sweet Potato,Dal,Egg,GOOD,Stable glucose,metabolic
Potato,Paneer,Dal,GOOD,Stable glucose,metabolic
Apple,Rice,Orange,DEPENDS,Context based,neutral
Almonds,Milk,Olive Oil,DEPENDS,Context based,neutral
Bajra,Almonds,Brown Rice,DEPENDS,Context based,neutral
Rice,Broccoli,Chickpeas,GOOD,Stable glucose,metabolic
Quinoa,Spinach,Paneer,GOOD,Stable glucose,metabolic
Dal,Bajra,Carrot,GOOD,Stable glucose,metabolic
Spinach,Olive Oil,Milk,BAD,Calcium blocks iron,absorption
Chickpeas,Spinach,Peanut Butter,DEPENDS,Context based,neutral
Banana,Peanut Butter,Ragi,BAD,Heavy digestion + sugar spike,metabolic
Peanut Butter,Egg,Almonds,DEPENDS,Context based,neutral
Rice,Potato,Almonds,DEPENDS,Context based,neutral
Brown Rice,Tomato,Carrot,DEPENDS,Context based,neutral
Curd,Orange,Curd,DEPENDS,Context based,neutral
Sweet Potato,Banana,Fish,GOOD,Stable glucose,metabolic
Apple,Paneer,Peanut Butter,DEPENDS,Context based,neutral
Carrot,Broccoli,Spinach,DEPENDS,Context based,neutral
Lemon,Olive Oil,Apple,DEPENDS,Context based,neutral
Sweet Potato,Broccoli,Olive Oil,DEPENDS,Context based,neutral
Spinach,Peanut Butter,Spinach,DEPENDS,Context based,neutral
Almonds,Ragi,Milk,DEPENDS,Context based,neutral
Curd,Brown Rice,Potato,DEPENDS,Context based,neutral
Paneer,Banana,Apple,DEPENDS,Context based,neutral
Apple,Chickpeas,Spinach,DEPENDS,Context based,neutral
Potato,Carrot,Bajra,DEPENDS,Context based,neutral
Spinach,Milk,Fish,BAD,Calcium blocks iron,absorption
Broccoli,Rice,Broccoli,DEPENDS,Context based,neutral
Almonds,Sweet Potato,Peanut Butter,DEPENDS,Context based,neutral
Curd,Lemon,Banana,DEPENDS,Context based,neutral
Bajra,Almonds,Carrot,GOOD,Vitamin A absorption,absorption
Chicken,Jowar,Quinoa,GOOD,Stable glucose,metabolic
Curd,Paneer,Milk,DEPENDS,Context based,neutral
Ragi,Ghee,Olive Oil,DEPENDS,Context based,neutral
Peanut Butter,Fish,Ragi,GOOD,Stable glucose,metabolic
Ragi,Chickpeas,Almonds,GOOD,Stable glucose,metabolic
Egg,Apple,Spinach,DEPENDS,Context based,neutral
Dal,Dal,Orange,DEPENDS,Context based,neutral
Quinoa,Sweet Potato,Curd,DEPENDS,Context based,neutral
Broccoli,Apple,Quinoa,DEPENDS,Context based,neutral
Spinach,Tomato,Almonds,GOOD,Iron absorption boost,absorption
Fish,Orange,Chicken,DEPENDS,Context based,neutral
Broccoli,Carrot,Milk,DEPENDS,Context based,neutral
Carrot,Apple,Sweet Potato,DEPENDS,Context based,neutral
Dal,Ghee,Brown Rice,GOOD,Stable glucose,metabolic
Banana,Olive Oil,Tomato,DEPENDS,Context based,neutral
Fish,Jowar,Jowar,GOOD,Stable glucose,metabolic
Potato,Spinach,Jowar,DEPENDS,Context based,neutral
Olive Oil,Broccoli,Dal,DEPENDS,Context based,neutral
Carrot,Brown Rice,Fish,GOOD,Stable glucose,metabolic
Jowar,Peanut Butter,Jowar,DEPENDS,Context based,neutral
Ghee,Sweet Potato,Apple,BAD,Heavy digestion + sugar spike,metabolic
Spinach,Ragi,Lemon,GOOD,Iron absorption boost,absorption
Sweet Potato,Chicken,Apple,GOOD,Stable glucose,metabolic
Potato,Spinach,Tomato,GOOD,Iron absorption boost,absorption
Milk,Banana,Quinoa,DEPENDS,Context based,neutral
Almonds,Lemon,Rice,DEPENDS,Context based,neutral
Tomato,Peanut Butter,Spinach,GOOD,Iron absorption boost,absorption
Paneer,Jowar,Ghee,GOOD,Stable glucose,metabolic
Chickpeas,Ghee,Fish,DEPENDS,Context based,neutral
Carrot,Sweet Potato,Sweet Potato,DEPENDS,Context based,neutral
Rice,Dal,Sweet Potato,GOOD,Stable glucose,metabolic
Ghee,Ragi,Carrot,GOOD,Vitamin A absorption,absorption
Egg,Brown Rice,Potato,GOOD,Stable glucose,metabolic
Rice,Banana,Ghee,BAD,Heavy digestion + sugar spike,metabolic
Banana,Potato,Orange,DEPENDS,Context based,neutral
Dal,Broccoli,Banana,DEPENDS,Context based,neutral
Rice,Ragi,Spinach,DEPENDS,Context based,neutral
Spinach,Dal,Olive Oil,DEPENDS,Context based,neutral
Banana,Olive Oil,Chicken,DEPENDS,Context based,neutral
Olive Oil,Milk,Tomato,DEPENDS,Context based,neutral
Banana,Apple,Banana,DEPENDS,Context based,neutral
Paneer,Bajra,Potato,GOOD,Stable glucose,metabolic
Egg,Fish,Chicken,DEPENDS,Context based,neutral
Lemon,Rice,Rice,DEPENDS,Context based,neutral
Ghee,Quinoa,Rice,DEPENDS,Context based,neutral
Fish,Sweet Potato,Almonds,GOOD,Stable glucose,metabolic
Tomato,Milk,Spinach,GOOD,Iron absorption boost,absorption
Brown Rice,Paneer,Rice,GOOD,Stable glucose,metabolic
Broccoli,Curd,Brown Rice,DEPENDS,Context based,neutral
Banana,Apple,Olive Oil,DEPENDS,Context based,neutral
Orange,Potato,Dal,GOOD,Stable glucose,metabolic
Ghee,Ragi,Jowar,DEPENDS,Context based,neutral
Egg,Lemon,Bajra,GOOD,Stable glucose,metabolic
Ragi,Peanut Butter,Spinach,DEPENDS,Context based,neutral
Almonds,Broccoli,Chicken,DEPENDS,Context based,neutral
Broccoli,Chickpeas,Ragi,GOOD,Stable glucose,metabolic
Paneer,Jowar,Quinoa,GOOD,Stable glucose,metabolic
Sweet Potato,Chicken,Paneer,GOOD,Stable glucose,metabolic
Banana,Milk,Orange,DEPENDS,Context based,neutral
Sweet Potato,Egg,Broccoli,GOOD,Stable glucose,metabolic
Banana,Fish,Orange,DEPENDS,Context based,neutral
Banana,Olive Oil,Jowar,BAD,Heavy digestion + sugar spike,metabolic
Orange,Curd,Spinach,GOOD,Iron absorption boost,absorption
Apple,Lemon,Rice,DEPENDS,Context based,neutral
Brown Rice,Chickpeas,Apple,GOOD,Stable glucose,metabolic
Peanut Butter,Lemon,Potato,DEPENDS,Context based,neutral
Banana,Paneer,Peanut Butter,DEPENDS,Context based,neutral
Carrot,Brown Rice,Peanut Butter,GOOD,Vitamin A absorption,absorption
Curd,Egg,Sweet Potato,GOOD,Stable glucose,metabolic
Chickpeas,Rice,Ghee,GOOD,Stable glucose,metabolic
Ghee,Jowar,Rice,DEPENDS,Context based,neutral
Paneer,Dal,Curd,DEPENDS,Context based,neutral
Brown Rice,Sweet Potato,Curd,DEPENDS,Context based,neutral
Orange,Brown Rice,Potato,DEPENDS,Context based,neutral
Curd,Quinoa,Peanut Butter,DEPENDS,Context based,neutral
Curd,Bajra,Egg,GOOD,Stable glucose,metabolic
Tomato,Bajra,Paneer,GOOD,Stable glucose,metabolic
Tomato,Milk,Curd,DEPENDS,Context based,neutral
Peanut Butter,Carrot,Brown Rice,GOOD,Vitamin A absorption,absorption
Olive Oil,Milk,Ghee,DEPENDS,Context based,neutral
Orange,Dal,Dal,DEPENDS,Context based,neutral
Potato,Bajra,Rice,DEPENDS,Context based,neutral
Peanut Butter,Milk,Banana,DEPENDS,Context based,neutral
Spinach,Apple,Milk,BAD,Calcium blocks iron,absorption
Jowar,Rice,Spinach,DEPENDS,Context based,neutral
Peanut Butter,Lemon,Spinach,GOOD,Iron absorption boost,absorption
Fish,Sweet Potato,Ghee,GOOD,Stable glucose,metabolic
Bajra,Brown Rice,Chicken,GOOD,Stable glucose,metabolic
Milk,Orange,Tomato,DEPENDS,Context based,neutral
Fish,Chicken,Bajra,GOOD,Stable glucose,metabolic
Orange,Rice,Fish,GOOD,Stable glucose,metabolic
Almonds,Spinach,Peanut Butter,DEPENDS,Context based,neutral
Spinach,Sweet Potato,Chickpeas,GOOD,Stable glucose,metabolic
Chickpeas,Fish,Spinach,DEPENDS,Context based,neutral
Carrot,Potato,Banana,DEPENDS,Context based,neutral
Quinoa,Sweet Potato,Quinoa,DEPENDS,Context based,neutral
Chicken,Peanut Butter,Carrot,GOOD,Vitamin A absorption,absorption
Carrot,Potato,Potato,DEPENDS,Context based,neutral
Paneer,Olive Oil,Sweet Potato,GOOD,Stable glucose,metabolic
Carrot,Fish,Chicken,DEPENDS,Context based,neutral
Broccoli,Banana,Chickpeas,DEPENDS,Context based,neutral
Curd,Paneer,Peanut Butter,DEPENDS,Context based,neutral
Tomato,Orange,Olive Oil,DEPENDS,Context based,neutral
Egg,Paneer,Spinach,DEPENDS,Context based,neutral
Peanut Butter,Curd,Almonds,DEPENDS,Context based,neutral
Quinoa,Dal,Rice,GOOD,Stable glucose,metabolic
Tomato,Olive Oil,Brown Rice,DEPENDS,Context based,neutral
Potato,Olive Oil,Sweet Potato,DEPENDS,Context based,neutral
Sweet Potato,Almonds,Chickpeas,GOOD,Stable glucose,metabolic
Brown Rice,Brown Rice,Olive Oil,DEPENDS,Context based,neutral
Ghee,Orange,Milk,DEPENDS,Context based,neutral
Ghee,Banana,Apple,DEPENDS,Context based,neutral
Milk,Chickpeas,Dal,DEPENDS,Context based,neutral
Rice,Olive Oil,Banana,BAD,Heavy digestion + sugar spike,metabolic
Curd,Tomato,Sweet Potato,DEPENDS,Context based,neutral
Banana,Almonds,Spinach,DEPENDS,Context based,neutral
Fish,Fish,Almonds,DEPENDS,Context based,neutral
Quinoa,Orange,Potato,DEPENDS,Context based,neutral
Carrot,Potato,Banana,DEPENDS,Context based,neutral
Bajra,Spinach,Dal,GOOD,Stable glucose,metabolic
Rice,Bajra,Lemon,DEPENDS,Context based,neutral
Lemon,Apple,Olive Oil,DEPENDS,Context based,neutral
Tomato,Apple,Chickpeas,DEPENDS,Context based,neutral
Fish,Tomato,Tomato,DEPENDS,Context based,neutral
Bajra,Jowar,Carrot,DEPENDS,Context based,neutral
Potato,Milk,Milk,DEPENDS,Context based,neutral
Banana,Apple,Carrot,DEPENDS,Context based,neutral
Bajra,Bajra,Spinach,DEPENDS,Context based,neutral
Quinoa,Milk,Paneer,GOOD,Stable glucose,metabolic
Spinach,Sweet Potato,Brown Rice,DEPENDS,Context based,neutral
Spinach,Peanut Butter,Ragi,DEPENDS,Context based,neutral
Spinach,Paneer,Milk,BAD,Calcium blocks iron,absorption
Jowar,Chicken,Ragi,GOOD,Stable glucose,metabolic
Milk,Ghee,Quinoa,DEPENDS,Context based,neutral
Peanut Butter,Lemon,Jowar,DEPENDS,Context based,neutral
Brown Rice,Orange,Paneer,GOOD,Stable glucose,metabolic
Sweet Potato,Bajra,Egg,GOOD,Stable glucose,metabolic
Tomato,Brown Rice,Curd,DEPENDS,Context based,neutral
Ghee,Jowar,Potato,DEPENDS,Context based,neutral
Rice,Ghee,Bajra,DEPENDS,Context based,neutral
Tomato,Fish,Rice,GOOD,Stable glucose,metabolic
Broccoli,Curd,Milk,DEPENDS,Context based,neutral
Curd,Carrot,Almonds,GOOD,Vitamin A absorption,absorption
Rice,Olive Oil,Apple,BAD,Heavy digestion + sugar spike,metabolic
Egg,Milk,Milk,DEPENDS,Context based,neutral
Peanut Butter,Potato,Brown Rice,DEPENDS,Context based,neutral
Quinoa,Ghee,Carrot,GOOD,Vitamin A absorption,absorption
Orange,Chicken,Potato,GOOD,Stable glucose,metabolic
Tomato,Almonds,Tomato,DEPENDS,Context based,neutral
Chicken,Almonds,Broccoli,DEPENDS,Context based,neutral
Apple,Dal,Brown Rice,GOOD,Stable glucose,metabolic
Ghee,Broccoli,Broccoli,DEPENDS,Context based,neutral
Ghee,Rice,Tomato,DEPENDS,Context based,neutral
Paneer,Spinach,Spinach,DEPENDS,Context based,neutral
Olive Oil,Ragi,Spinach,DEPENDS,Context based,neutral
Orange,Sweet Potato,Apple,DEPENDS,Context based,neutral
Milk,Paneer,Lemon,DEPENDS,Context based,neutral
Peanut Butter,Fish,Curd,DEPENDS,Context based,neutral
Rice,Ghee,Paneer,GOOD,Stable glucose,metabolic
Paneer,Almonds,Curd,DEPENDS,Context based,neutral
Fish,Apple,Banana,DEPENDS,Context based,neutral
Paneer,Rice,Tomato,GOOD,Stable glucose,metabolic
Potato,Banana,Brown Rice,DEPENDS,Context based,neutral
Curd,Jowar,Banana,DEPENDS,Context based,neutral
Dal,Bajra,Rice,GOOD,Stable glucose,metabolic
Dal,Spinach,Egg,DEPENDS,Context based,neutral
Peanut Butter,Almonds,Milk,DEPENDS,Context based,neutral
